cuisines,total_restaurants,avg_rating,avg_cost_for_two,total_votes
"Modern Indian",11,4.35,2236,12355
"Cafe, Continental, Italian",10,4.08,830,1830
"Cafe, Continental",10,3.97,970,3657
"Cafe, Italian",10,3.94,745,1884
Italian,26,3.82,1773,9335
"Cafe, Tea",17,3.78,406,2522
Continental,18,3.76,1794,3367
"Continental, North Indian",12,3.71,1238,8463
"Pizza, Italian",18,3.67,928,6019
"Cafe, Fast Food",17,3.66,459,2045
"Desserts, Beverages",11,3.65,273,1500
"Cafe, Bakery",11,3.64,668,1905
"Burger, Desserts, Fast Food",19,3.63,600,5971
"North Indian, Chinese, Continental, Italian",12,3.61,1246,4837
"North Indian, Chinese, Italian",14,3.57,964,2712
